評價,1.0000
五星,0.4478
兩極,0.4384
推文,0.4132
半顆,0.3841
四顆星,0.3731
見仁見智,0.3621
個人感覺,0.3570
三顆,0.3532
黑暗,0.3513
畏懼,0.3510
悲慘,0.3501
無感,0.3499
嘆氣,0.3491
想開,0.3439
贅述,0.3433
地雷,0.3416
偏頗,0.3408
好過,0.3384
警告,0.3371
太棒了,0.3364
超推,0.3356
磨練,0.3325
三星,0.3297
低落,0.3292
可憐,0.3290
兩顆,0.3284
熱門,0.3276
猶豫,0.3275
美好,0.3265
獲益,0.3265
沒選上,0.3262
難過,0.3237
批評,0.3227
糟糕,0.3225
愛上,0.3222
給推,0.3179
乏味,0.3124
雜亂,0.3121
嚇人,0.3054
共鳴,0.3038
太淺,0.3021
挫折感,0.3010
有點煩,0.3005
有點累,0.2997
感激,0.2990
負面,0.2968
後悔,0.2956
因人而異,0.2953
太好了,0.2952